cycle,router,eject,eject_sources,arrive,forward
649,"(2,0)",1,70,1,1
653,"(2,0)",1,71,1,1
661,"(2,0)",1,59,1,1
665,"(2,0)",1,58,1,1
669,"(2,0)",1,57,1,1
673,"(2,0)",1,56,1,1
677,"(2,0)",1,55,1,1
681,"(2,0)",1,54,1,1
685,"(2,0)",1,53,1,1
689,"(2,0)",1,52,1,1
693,"(2,0)",1,51,1,1
697,"(2,0)",1,50,1,1
701,"(2,0)",1,49,1,1
709,"(2,0)",1,37,1,1
713,"(2,0)",1,38,1,1
717,"(2,0)",1,39,1,1
721,"(2,0)",1,40,1,1
725,"(2,0)",1,41,1,1
729,"(2,0)",1,42,1,1
733,"(2,0)",1,43,1,1
737,"(2,0)",1,44,1,1
741,"(2,0)",1,45,1,1
745,"(2,0)",1,46,1,1
749,"(2,0)",1,47,1,1
757,"(2,0)",1,35,1,1
761,"(2,0)",1,34,1,1
765,"(2,0)",1,33,1,1
769,"(2,0)",1,32,1,1
773,"(2,0)",1,31,1,1
777,"(2,0)",1,30,1,1
781,"(2,0)",1,29,1,1
785,"(2,0)",1,28,1,1
789,"(2,0)",1,27,1,1
793,"(2,0)",1,26,1,1
797,"(2,0)",1,25,1,1
805,"(2,0)",1,13,1,1
809,"(2,0)",1,14,1,1
813,"(2,0)",1,15,1,1
817,"(2,0)",1,16,1,1
821,"(2,0)",1,17,1,1
825,"(2,0)",1,18,1,1
829,"(2,0)",1,19,1,1
833,"(2,0)",1,20,1,1
837,"(2,0)",1,21,1,1
841,"(2,0)",1,22,1,1
845,"(2,0)",1,23,1,1
853,"(2,0)",1,11,1,1
857,"(2,0)",1,10,1,1
861,"(2,0)",1,9,1,1
865,"(2,0)",1,8,1,1
869,"(2,0)",1,7,1,1
873,"(2,0)",1,6,1,1
877,"(2,0)",1,5,1,1
881,"(2,0)",1,4,1,1
885,"(2,0)",1,3,1,0
1,"(3,0)",0,—,0,1
5,"(3,0)",1,2,1,1
9,"(3,0)",1,1,1,1
13,"(3,0)",1,0,1,1
21,"(3,0)",1,12,1,1
29,"(3,0)",1,24,1,1
37,"(3,0)",1,36,1,1
